kind,pattern,support,negative_support,positive_support,positive_rate,fpr,fnr,false_positives,false_negatives
word,calligrata,131,92,39,0.29770992366412213,0.15217391304347827,0.7692307692307693,14,30
word,5 л,184,121,63,0.3423913043478261,0.10743801652892562,0.6507936507936508,13,41
word,чайник,169,128,41,0.24260355029585798,0.1015625,0.6829268292682927,13,28
word,22,140,89,51,0.36428571428571427,0.14606741573033707,0.5098039215686274,13,26
word,2 кг,122,69,53,0.4344262295081967,0.18840579710144928,0.5471698113207547,13,29
word,цвета,116,77,39,0.33620689655172414,0.16883116883116883,0.358974358974359,13,14
word,a,562,407,155,0.27580071174377224,0.029484029484029485,0.7483870967741936,12,116
word,c,479,354,125,0.2609603340292276,0.03389830508474576,0.592,12,74
word,l,281,187,94,0.33451957295373663,0.06417112299465241,0.7021276595744681,12,66
word,b,262,181,81,0.30916030534351147,0.06629834254143646,0.6049382716049383,12,49
word,блок,262,207,55,0.2099236641221374,0.057971014492753624,0.6727272727272727,12,37
word,canin,219,128,91,0.4155251141552511,0.09375,0.6703296703296703,12,61
word,45,211,155,56,0.26540284360189575,0.07741935483870968,0.5714285714285714,12,32
word,пластик,198,130,68,0.3434343434343434,0.09230769230769231,0.5,12,34
word,23,171,101,70,0.4093567251461988,0.1188118811881188,0.6571428571428571,12,46
word,синий,170,101,69,0.40588235294117647,0.1188118811881188,0.5652173913043478,12,39
word,85,168,117,51,0.30357142857142855,0.10256410256410256,0.7843137254901961,12,40
word,а 4,168,125,43,0.25595238095238093,0.096,0.7209302325581395,12,31
word,зеленый,163,104,59,0.3619631901840491,0.11538461538461539,0.576271186440678,12,34
word,55,139,98,41,0.2949640287769784,0.12244897959183673,0.5121951219512195,12,21
word,универсальный,126,94,32,0.25396825396825395,0.1276595744680851,0.5,12,16
word,1 5 кг,109,54,55,0.5045871559633027,0.2222222222222222,0.6909090909090909,12,38
word,plan,109,75,34,0.3119266055045872,0.16,0.7058823529411765,12,24
word,кофе,423,283,140,0.3309692671394799,0.038869257950530034,0.6928571428571428,11,97
word,13,198,129,69,0.3484848484848485,0.08527131782945736,0.5652173913043478,11,39
word,3 шт,177,133,44,0.24858757062146894,0.08270676691729323,0.5909090909090909,11,26
word,к,153,115,38,0.24836601307189543,0.09565217391304348,0.6578947368421053,11,25
word,k,137,104,33,0.24087591240875914,0.10576923076923077,0.5757575757575758,11,19
word,450,136,84,52,0.38235294117647056,0.13095238095238096,0.5192307692307693,11,27
word,игровой,133,90,43,0.3233082706766917,0.12222222222222222,0.3023255813953488,11,13
word,50 мл,116,64,52,0.4482758620689655,0.171875,0.5769230769230769,11,30
word,чехол,523,444,79,0.15105162523900573,0.02252252252252252,0.6329113924050633,10,50
word,гитары,433,327,106,0.24480369515011546,0.03058103975535168,0.6792452830188679,10,72
word,120,252,189,63,0.25,0.05291005291005291,0.6984126984126984,10,44
word,без,215,180,35,0.16279069767441862,0.05555555555555555,0.7142857142857143,10,25
word,папка,195,143,52,0.26666666666666666,0.06993006993006994,0.8653846153846154,10,45
word,17,191,119,72,0.3769633507853403,0.08403361344537816,0.5277777777777778,10,38
word,настольная,182,37,145,0.7967032967032966,0.2702702702702703,0.1724137931034483,10,25
word,1 кг,173,104,69,0.3988439306358382,0.09615384615384616,0.5217391304347826,10,36
